rule,says,support,confidence,lift
fav_number_low & link_default & text_len_low,non_human,0.06486775313919316,0.7807073954983922,2.699730027116114
fav_number_low & sidebar_default & text_len_low,non_human,0.06438685546353193,0.780440414507772,2.6988067918538343
favs_per_day_low & text_len_low & text_n_urls_low,non_human,0.0644402885386054,0.7780645161290323,2.690590801802446
fav_number_low & text_len_low & text_n_urls_low,non_human,0.06454715468875234,0.7778493238892467,2.6898466549496027
default_image & desc_missing & location_missing,non_human,0.057600854929201174,0.7760979121670266,2.6837901748347934
default_image & desc_len_low & location_missing,non_human,0.057600854929201174,0.7760979121670266,2.6837901748347934
favs_per_day_low & text_n_urls_low & tweets_per_day_high,non_human,0.06540208388992787,0.7746835443037975,2.678899211316624
default_image & desc_missing & sidebar_default,non_human,0.057600854929201174,0.7744252873563218,2.6780061442855803
default_image & link_default & timezone_missing,non_human,0.06342506011220946,0.7742987606001304,2.6775686076554766
default_image & sidebar_default & timezone_missing,non_human,0.06342506011220946,0.7742987606001304,2.6775686076554766
default_image & desc_missing & link_default,non_human,0.05754742185412771,0.7742631200575125,2.6774453606571225
text_len_low & timezone_missing & tweets_per_day_high,non_human,0.060058776382580815,0.7741046831955922,2.6768974770889704
default_image & desc_missing & timezone_missing,non_human,0.055463531926262355,0.774049217002237,2.6767056718767304
default_image & desc_len_low & link_default,non_human,0.057707721079348115,0.7736389684813754,2.675287009447328
default_image & desc_len_low & sidebar_default,non_human,0.057707721079348115,0.7736389684813754,2.675287009447328
default_image & desc_len_low & timezone_missing,non_human,0.05551696500133583,0.7730654761904763,2.6733038408914935
default_image & desc_missing,non_human,0.05786802030456853,0.7730192719486082,2.6731440640277535
default_image & desc_len_low & desc_missing,non_human,0.05786802030456853,0.7730192719486082,2.6731440640277535
default_image & desc_len_low,non_human,0.05802831952978894,0.7718550106609807,2.6691179830968688
default_image & timezone_missing,non_human,0.06358535933742987,0.7717250324254216,2.6686685110572363
default_image & link_default,non_human,0.06657761154154422,0.7705627705627706,2.664649344250231
default_image & sidebar_default,non_human,0.06647074539139727,0.7702786377708979,2.6636667970957784
default_image & link_default & sidebar_default,non_human,0.06636387924125034,0.7699938003719777,2.6626818133705767
location_missing & text_len_low & tweets_per_day_high,non_human,0.06192893401015229,0.7680583167660702,2.655988802342388
fav_number_low & timezone_missing & tweet_count_high,non_human,0.056371894202511354,0.7672727272727273,2.653272189746691
default_image,non_human,0.06705850921720545,0.7671149144254279,2.65272646405615
favs_per_day_low & timezone_missing & tweets_per_day_high,non_human,0.0729361474752872,0.7642777155655096,2.642915271028919
favs_per_day_low & location_missing & tweet_count_high,non_human,0.058829815655890995,0.7635228848821082,2.6403050241257673
favs_per_day_low & text_len_low,non_human,0.06689820999198504,0.7629494210847044,2.6383219541020404
fav_number_low & text_len_low,non_human,0.06705850921720545,0.7629179331306991,2.6382130669883654
favs_per_day_low & location_missing & tweets_per_day_high,non_human,0.0756612343040342,0.7535923363491218,2.6059646294851837
sidebar_default & text_len_low & tweets_per_day_high,non_human,0.062409831685813516,0.7520927237604637,2.600778884918159
favs_per_day_low & sidebar_default & tweet_count_high,non_human,0.060967138658829814,0.7501643655489809,2.5941105139041345
link_default & text_len_low & tweets_per_day_high,non_human,0.06273043013625434,0.7482472912683239,2.587481163356741
desc_missing & favs_per_day_low & tweets_per_day_high,non_human,0.060058776382580815,0.746347941567065,2.580913105400521
fav_number_low & location_missing & tweet_count_high,non_human,0.06064654020838899,0.7452396585686146,2.5770806005379936
favs_per_day_low & link_default & tweet_count_high,non_human,0.06321132781191557,0.7449622166246852,2.5761211907115635
location_missing & timezone_missing & tweet_count_high,non_human,0.05514293347582153,0.7440519105984138,2.5729733013394886
favs_per_day_low & sidebar_default & tweets_per_day_high,non_human,0.07843975420785466,0.7436676798378927,2.5716446097867998
favs_per_day_low & link_default & tweets_per_day_high,non_human,0.08020304568527918,0.743437345220406,2.570848099741297
desc_len_low & favs_per_day_low & tweets_per_day_high,non_human,0.06139460325941758,0.7422480620155039,2.566735491614958
fav_number_low & favs_per_day_low & tweet_count_high,non_human,0.0724018167245525,0.7400327689787002,2.559074883857423
fav_number_low & text_n_urls_low & tweets_per_day_high,non_human,0.06818060379374832,0.7392815758980301,2.5564772159888456
favs_per_day_low & tweet_count_high & tweets_per_day_high,non_human,0.06855463531926262,0.7390552995391705,2.555694739629633
fav_number_low & favs_per_day_low & tweets_per_day_high,non_human,0.0912102591504141,0.7370466321243523,2.5487486548793887
fav_number_low & text_n_urls_low & tweet_count_high,non_human,0.05150948437082554,0.7341964965727342,2.538892726045588
fav_number_low & sidebar_default & tweet_count_high,non_human,0.06310446166176864,0.7335403726708075,2.5366238127372807
fav_number_low & link_default & tweet_count_high,non_human,0.0649746192893401,0.7320891029500302,2.5316052405228775
fav_number_low & timezone_missing & tweets_per_day_high,non_human,0.07667646273043013,0.731769505354411,2.5305000540849596
favs_per_day_low & tweets_per_day_high,non_human,0.09233235372695699,0.7309644670050761,2.5277161862527713
desc_missing & timezone_missing & tweets_per_day_high,non_human,0.059471012556772646,0.7284031413612565,2.5188589783030144
fav_number_low & tweet_count_high & tweets_per_day_high,non_human,0.07047822602190756,0.7283268912203202,2.5185953010325743
fav_number_low & location_missing & tweets_per_day_high,non_human,0.07876035265829548,0.7246804326450343,2.5059856424522944
favs_per_day_low & tweet_count_high,non_human,0.07453913972749132,0.7242990654205608,2.5046668531681067
fav_number_low & tweet_count_high,non_human,0.07544750200374031,0.7226202661207779,2.4988614708888317
desc_missing & text_n_urls_low & tweets_per_day_high,non_human,0.05765428800427465,0.7222222222222222,2.497485012728915
desc_missing & text_len_low & timezone_missing,non_human,0.05268501202244189,0.7186588921282798,2.48516281710657
sidebar_default & timezone_missing & tweet_count_high,non_human,0.05690622495324606,0.7147651006711409,2.4716978675277903
fav_number_low & link_default & tweets_per_day_high,non_human,0.08367619556505478,0.7144160583941606,2.470490859727774
fav_number_low & sidebar_default & tweets_per_day_high,non_human,0.08191290408763024,0.7140195621797858,2.469119753546691
desc_missing & fav_number_low & tweets_per_day_high,non_human,0.06257013091103393,0.7127206329884358,2.464627983440239
desc_missing & sidebar_default & text_len_low,non_human,0.054555169650013356,0.7119944211994421,2.4621167022815147
fav_number_low & tweets_per_day_high,non_human,0.09633983435746728,0.7112426035502959,2.459516874620064
desc_missing & link_default & text_len_low,non_human,0.05460860272508683,0.7097222222222223,2.45425931058553
desc_len_low & fav_number_low & tweets_per_day_high,non_human,0.06395939086294417,0.7091232227488152,2.452187936759807
link_default & timezone_missing & tweet_count_high,non_human,0.05711995725353994,0.708416169648774,2.449742907423652
desc_len_low & timezone_missing & tweets_per_day_high,non_human,0.06043280790809511,0.706875,2.4444134562084257
desc_missing & location_missing & text_len_low,non_human,0.0546620358001603,0.7055172413793104,2.439718250630782
favs_per_day_low & text_n_urls_low & timezone_missing,non_human,0.06673791076676462,0.7044557247602932,2.4360474665352707
location_missing & timezone_missing & tweets_per_day_high,non_human,0.07379107667646273,0.7020843924758515,2.4278472662944495
timezone_missing & tweet_count_high & tweets_per_day_high,non_human,0.05952444563184611,0.70062893081761,2.4228141981248283
desc_missing & location_missing & tweets_per_day_high,non_human,0.06289072936147476,0.7001784651992862,2.421256462713348
favs_per_day_low & location_missing & timezone_missing,non_human,0.07833288805770772,0.7000955109837631,2.420969602376409
location_missing & sidebar_default & tweet_count_high,non_human,0.060058776382580815,0.6985705407085145,2.415696169504776
desc_missing & favs_per_day_low & text_n_urls_low,non_human,0.057493988779054234,0.6982478909798832,2.414580428619459
favs_per_day_low & location_missing & text_n_urls_low,non_human,0.06844776916911569,0.6954397394136808,2.4048696827655274
desc_missing & sidebar_default & tweets_per_day_high,non_human,0.062302965535666575,0.6928104575163399,2.3957774782738914
link_default & location_missing & tweet_count_high,non_human,0.060699973283462466,0.6909975669099757,2.389508400724352
desc_missing & link_default & tweets_per_day_high,non_human,0.06224953246059311,0.6909845788849348,2.3894634874042042
desc_missing & favs_per_day_low & timezone_missing,non_human,0.06214266631044617,0.6841176470588235,2.3657172514238507
desc_len_low & favs_per_day_low & text_n_urls_low,non_human,0.057921453379641996,0.6809045226130653,2.3546060866044933
desc_len_low & location_missing & tweets_per_day_high,non_human,0.0635319262623564,0.6802059496567506,2.3521903820816865
desc_missing & tweets_per_day_high,non_human,0.06411969008816458,0.6791171477079797,2.34842524378323
desc_len_low & desc_missing & tweets_per_day_high,non_human,0.06411969008816458,0.6791171477079797,2.34842524378323
favs_per_day_low & link_default & timezone_missing,non_human,0.08618755009350788,0.6771620486985727,2.3416644015879133
location_missing & sidebar_default & tweets_per_day_high,non_human,0.07908095110873631,0.6767261088248743,2.3401568970172804
fav_number_low & favs_per_day_low & location_missing,non_human,0.09436281057974887,0.6766283524904215,2.3398188501216257
desc_len_low & favs_per_day_low & timezone_missing,non_human,0.06326476088698904,0.6765714285714285,2.3396220040122473
favs_per_day_low & sidebar_default & timezone_missing,non_human,0.0845311247662303,0.6754910333048677,2.335885936493089
link_default & location_missing & tweets_per_day_high,non_human,0.07977558108469142,0.6752600633197647,2.3350872293106795
timezone_missing & tweet_count_high,non_human,0.061608335559711465,0.6750585480093677,2.334390378047915
fav_number_low & favs_per_day_low & timezone_missing,non_human,0.09340101522842639,0.6738627602158828,2.330255276688885
favs_per_day_low & location_missing & sidebar_default,non_human,0.08517232166711194,0.6734262779890157,2.32874589663053
desc_len_low & sidebar_default & tweets_per_day_high,non_human,0.06363879241250334,0.6732617297908422,2.3281768797183315
desc_len_low & text_n_urls_low & tweets_per_day_high,non_human,0.05824205183008282,0.6728395061728394,2.3267168067303565
favs_per_day_low & link_default & location_missing,non_human,0.08698904621960994,0.6724494010739365,2.325367801385573
